"Name
","Developer
","Initial release
","Version
","Date
","Program­ming language
","Cost (US$)
","License
","GUI
","TUI or CLI
"
"mcedit
","Miguel de Icaza
","1994
","4.8.32[23] 
","2024-08-23
","C, Python, PHP, Javascript, Perl, Tcl, Ruby
","No cost
","GPL-3.0-or-later
","
","
"
"Metapad
","Alexander Davidson
","1999
","3.6[24][25] 
","2011-05-28
","C
","No cost
","GPL-3.0-or-later
","
","
"
"mg
","Dave Conroy
","1986
","current[b]
","2020-07-22
","C
","No cost
","Public domain
","
","
"
"MinEd
","Thomas Wolff
","1992
","2022.27
","2022-12-23
","C
","No cost
","GPL
","
","
"
"MS-DOS Editor
","Microsoft
","1991
","2.0.026
","
","
","Bundled with MS-DOS, Microsoft Windows
","Proprietary
","
","
"
"ne
","Sebastiano VignaTodd LewisDaniele Filaretti
","1993
","3.3.3[27] 
","2023-10-19
","C
","No cost
","GPL-3.0-or-later
","
","
"
"NEdit
","Mark Edel
","1991
","5.7[28] 
","2017-02-08
","C
","No cost
","GPL-2.0-or-later
","
","
"
"Notepad
","Microsoft
","1985
","11.2302.16.0
","
","MASM (originally)
","Bundled with Microsoft Windows
","Proprietary
","
","
"
"Notepad++
","Don Ho
","2003-11-25
","8.7.5[29] 
","2024-12-25
","C++
","No cost
","GPL-3.0-or-later
","
","
"
"nvi
","Keith Bostic
","1994
","1.81.6[30] 
","2007-11-18
","C
","No cost
","BSD-3-Clause
","
","
"
"Pico
","University of Washington
","1992
","4.64
","
","C
","No cost
","Apache-2.0
","
","
"
"PimNote
","Pimtel
","2023
","1.2.0[31]
","2023-04-22
","C#
","No cost
","Proprietary
","
","
"
